memberStateCode,memberStateName,beginDate,endDate,price,unit,weekNumber,product,variety,description,variety_name,calorie,,,,,
FR,France,11/11/2024,17/11/2024,135,100KG,46,apples,Granny smith - Cat. I - Cal. 70-80,France - apples - Granny smith - Cat. I - Cal. 70-80,Granny smith,70-80,,,,,
FR,France,11/11/2024,17/11/2024,135,100KG,46,apples,Elstar - Cat. I - Cal. 65-70,France - apples - Elstar - Cat. I - Cal. 65-70,Elstar,65-70,,,,,
FR,France,11/11/2024,17/11/2024,177.5,100KG,46,pears,"Williams (Bon Chrétien) - Cat. I - Size 65+/75+, packs of around 5-10 kg","France - pears - Williams (Bon Chrétien) - Cat. I - Size 65+/75+, packs of around 5-10 kg",Williams (Bon Chrétien),65+/75+,,,,,
FR,France,11/11/2024,17/11/2024,130.5,100KG,46,apples,Golden delicious - Cat. I - Cal. 70-80,France - apples - Golden delicious - Cat. I - Cal. 70-80,Golden delicious,70-80,,,,,
FR,France,11/11/2024,17/11/2024,121.5,100KG,46,apples,Gala - Cat . I - Cal . 65-70,France - apples - Gala - Cat . I - Cal . 65-70,Gala,65-70,,,,,
FR,France,4/11/2024,10/11/2024,173,100KG,45,pears,"Williams (Bon Chrétien) - Cat. I - Size 65+/75+, packs of around 5-10 kg","France - pears - Williams (Bon Chrétien) - Cat. I - Size 65+/75+, packs of around 5-10 kg",Williams (Bon Chrétien),65+/75+,,,,,
FR,France,4/11/2024,10/11/2024,134,100KG,45,apples,Granny smith - Cat. I - Cal. 70-80,France - apples - Granny smith - Cat. I - Cal. 70-80,Granny smith,70-80,,,,,
FR,France,4/11/2024,10/11/2024,129.5,100KG,45,apples,Golden delicious - Cat. I - Cal. 70-80,France - apples - Golden delicious - Cat. I - Cal. 70-80,Golden delicious,70-80,,,,,
FR,France,4/11/2024,10/11/2024,121,100KG,45,apples,Gala - Cat . I - Cal . 65-70,France - apples - Gala - Cat . I - Cal . 65-70,Gala,65-70,,,,,
FR,France,4/11/2024,10/11/2024,135,100KG,45,apples,Elstar - Cat. I - Cal. 65-70,France - apples - Elstar - Cat. I - Cal. 65-70,Elstar,65-70,,,,,
PT,Portugal,4/11/2024,10/11/2024,82,100KG,45,oranges,Valencia late - Cat. I - Cal. 2-4,Portugal - oranges - Valencia late - Cat. I - Cal. 2-4,Valencia late,2-4,,,,,
PT,Portugal,4/11/2024,10/11/2024,162,100KG,45,pears,"Rocha - Cat. I - Size 65+/75+, packs of around 5-10 kg","Portugal - pears - Rocha - Cat. I - Size 65+/75+, packs of around 5-10 kg",Rocha,65+/75+,,,,,
PT,Portugal,4/11/2024,10/11/2024,115,100KG,45,apples,Gala - Cat . I - Cal . 65-70,Portugal - apples - Gala - Cat . I - Cal . 65-70,Gala,65-70,,,,,
PT,Portugal,4/11/2024,10/11/2024,95,100KG,45,apples,Red delicious (et autres rouges) - Cat. I - Cal. 70-80,Portugal - apples - Red delicious (et autres rouges) - Cat. I - Cal. 70-80,Red delicious (et autres rouges),70-80,,,,,
PT,Portugal,4/11/2024,10/11/2024,103,100KG,45,apples,Golden delicious - Cat. I - Cal. 70-80,Portugal - apples - Golden delicious - Cat. I - Cal. 70-80,Golden delicious,70-80,,,,,
PT,Portugal,4/11/2024,10/11/2024,112,100KG,45,apples,Fuji - Cat. I - Cal. 70-80,Portugal - apples - Fuji - Cat. I - Cal. 70-80,Fuji,70-80,,,,,
FR,France,28/10/2024,3/11/2024,169,100KG,44,pears,"Williams (Bon Chrétien) - Cat. I - Size 65+/75+, packs of around 5-10 kg","France - pears - Williams (Bon Chrétien) - Cat. I - Size 65+/75+, packs of around 5-10 kg",Williams (Bon Chrétien),65+/75+,,,,,
FR,France,28/10/2024,3/11/2024,135,100KG,44,apples,Elstar - Cat. I - Cal. 65-70,France - apples - Elstar - Cat. I - Cal. 65-70,Elstar,65-70,,,,,
FR,France,28/10/2024,3/11/2024,137,100KG,44,apples,Granny smith - Cat. I - Cal. 70-80,France - apples - Granny smith - Cat. I - Cal. 70-80,Granny smith,70-80,,,,,
FR,France,28/10/2024,3/11/2024,135,100KG,44,apples,Golden delicious - Cat. I - Cal. 70-80,France - apples - Golden delicious - Cat. I - Cal. 70-80,Golden delicious,70-80,,,,,
FR,France,28/10/2024,3/11/2024,124,100KG,44,apples,Gala - Cat . I - Cal . 65-70,France - apples - Gala - Cat . I - Cal . 65-70,Gala,65-70,,,,,
PT,Portugal,28/10/2024,3/11/2024,175,100KG,44,pears,"Rocha - Cat. I - Size 65+/75+, packs of around 5-10 kg","Portugal - pears - Rocha - Cat. I - Size 65+/75+, packs of around 5-10 kg",Rocha,65+/75+,,,,,
PT,Portugal,28/10/2024,3/11/2024,98,100KG,44,apples,Golden delicious - Cat. I - Cal. 70-80,Portugal - apples - Golden delicious - Cat. I - Cal. 70-80,Golden delicious,70-80,,,,,
PT,Portugal,28/10/2024,3/11/2024,105,100KG,44,apples,Gala - Cat . I - Cal . 65-70,Portugal - apples - Gala - Cat . I - Cal . 65-70,Gala,65-70,,,,,
PT,Portugal,28/10/2024,3/11/2024,100,100KG,44,apples,Fuji - Cat. I - Cal. 70-80,Portugal - apples - Fuji - Cat. I - Cal. 70-80,Fuji,70-80,,,,,
PT,Portugal,28/10/2024,3/11/2024,83,100KG,44,oranges,Valencia late - Cat. I - Cal. 2-4,Portugal - oranges - Valencia late - Cat. I - Cal. 2-4,Valencia late,2-4,,,,,
PT,Portugal,28/10/2024,3/11/2024,95,100KG,44,apples,Red delicious (et autres rouges) - Cat. I - Cal. 70-80,Portugal - apples - Red delicious (et autres rouges) - Cat. I - Cal. 70-80,Red delicious (et autres rouges),70-80,,,,,
FR,France,21/10/2024,27/10/2024,169,100KG,43,pears,"Williams (Bon Chrétien) - Cat. I - Size 65+/75+, packs of around 5-10 kg","France - pears - Williams (Bon Chrétien) - Cat. I - Size 65+/75+, packs of around 5-10 kg",Williams (Bon Chrétien),65+/75+,,,,,
FR,France,21/10/2024,27/10/2024,138,100KG,43,apples,Elstar - Cat. I - Cal. 65-70,France - apples - Elstar - Cat. I - Cal. 65-70,Elstar,65-70,,,,,
FR,France,21/10/2024,27/10/2024,137,100KG,43,apples,Granny smith - Cat. I - Cal. 70-80,France - apples - Granny smith - Cat. I - Cal. 70-80,Granny smith,70-80,,,,,
FR,France,21/10/2024,27/10/2024,134.5,100KG,43,apples,Golden delicious - Cat. I - Cal. 70-80,France - apples - Golden delicious - Cat. I - Cal. 70-80,Golden delicious,70-80,,,,,
FR,France,21/10/2024,27/10/2024,124,100KG,43,apples,Gala - Cat . I - Cal . 65-70,France - apples - Gala - Cat . I - Cal . 65-70,Gala,65-70,,,,,
PT,Portugal,21/10/2024,27/10/2024,162,100KG,43,pears,"Rocha - Cat. I - Size 65+/75+, packs of around 5-10 kg","Portugal - pears - Rocha - Cat. I - Size 65+/75+, packs of around 5-10 kg",Rocha,65+/75+,,,,,
